1421356318.658111 ccnd[4964]: CCND_DEBUG=7 CCND_CAP=1750
1421356318.658268 ccnd[4964]: listening on /tmp/.ccnd.sock.63001
1421356318.658318 ccnd[4964]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1421356318.658357 ccnd[4964]: accepting ipv4 connections on fd 5
1421356318.658392 ccnd[4964]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1421356318.658425 ccnd[4964]: accepting ipv6 connections on fd 7
1421356318.720804 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0059/=FD48CB584F2D1BA7782BAB0ED2F6E97D1A217BC33E5F7B694D3D1C989D13EDA7 (4506 bytes)
1421356318.720907 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=005A/=3B021AEE8193333855BEB38B9E75D1BC703DCFA4FEAF8C77B9DCFDC8C6E9258B (4506 bytes)
1421356318.721022 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=005B/%DCU%21a%D74%94S=8389C14BC14CFD11511C9D415367DFDDB70F64A5763CA3B2 (4506 bytes)
1421356318.721126 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=005C/=FB11E55897B17C2704ABD95C806DE2ABA642C1AE564FAD2C76648D4ADDCAD913 (4506 bytes)
1421356318.721229 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=005D/=3BED0F694AB3BD99D09B623E8D42F04B2F3275ADADEB3067C6ECAA6BA53DC4C6 (4506 bytes)
1421356318.721350 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=005E/5=9CA65FEF9895D5C31DB62044C0764916CBCEA9B9C73762770F4E0DB9AC83D5 (4506 bytes)
1421356318.721456 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=005F/=160736FB5744661CA41131E6E900E577E22497632DCE171EB6C3D82F74888B1C (4506 bytes)
1421356318.721560 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0060/=03AA3B5F17041DF1F83B5E527628164CCAE414D7164BC76C8C5682539FAA0E92 (4506 bytes)
1421356318.721675 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0061/%E6G=94F83B0B25039B1C9BD4C3CE2DE12C8EF0884C2DE0EE575FD72C449FF884 (4506 bytes)
1421356318.721782 ccnd[4964]: debug.4492 content_from 6 ccnx:/test/bulk/5000000.dat/=FD054AE7A6055D/=0062/9=2312D34BF59FA9F4986B38F09B9E797148105CE2E16BF74F2773818E7057D6 (4506 bytes)
